call_to_arrival,assign_to_arrival,demand_met
11.255112063931866,9.24039422885301,1.0
12.080074735832575,9.58043648944061,1.0
11.749893261883114,9.438336645511061,1.0
12.422071465980931,9.812328922525376,1.0
11.857702280599696,9.569487597398124,1.0
11.810282723540219,9.501185868934176,1.0
11.928518885115896,9.457562093004103,1.0
11.858292503810071,9.623895688225787,1.0
11.588304162578414,9.411441520708514,1.0
11.886157911188073,9.491515403964799,1.0
12.074505268742497,9.535192259218942,1.0
12.177074039210684,9.559547161129515,1.0
11.81554953618962,9.555946311784622,1.0
11.165607723156553,9.01403993220564,0.999
11.37737792605372,9.349126735129051,1.0
11.897127217283204,9.544617074745256,1.0
11.89471652181336,9.524838987512787,1.0
12.072547915855885,9.60115245844662,1.0
11.743466167944309,9.113386784323815,1.0
12.371069862815558,9.565168376251549,1.0
12.027985166850444,9.61423316843699,1.0
12.115403857088856,9.647720062411551,1.0
11.950007117511195,9.53453483632701,1.0
11.521314832326864,9.393762962989479,1.0
12.208427079621057,9.672740211756524,1.0
11.931638401269591,9.590417001693275,1.0
12.243731612059777,9.772977778888164,1.0
11.929018351463357,9.599472172306413,1.0
12.860516601935636,9.939337253879032,1.0
11.419015440120297,9.093980161167408,1.0
